Input,Response,TurkResponse
"Are you a fan of Google or Microsoft?","Here's something I found on the web. According to fool.com: Microsoft -- the market leader in word-processing software -- is Google's primary target here.","Both are excellent technology they are helpful in many ways. For the security purpose both are super."
"Did you know Google had hundreds of live goats to cut the grass in the past? \n","Here's something I found on the web. According to fastcompany.com: Now Google has informed us that they are taking a similar approach to landscaping by renting goats from California Grazing to cut its grass.","It is very interesting. Google provide 'Chrome OS' which is a light weight OS. Google provided a lot of hardware mainly in 2010 to 2015."
"I like Google Chrome. Do you use it as well for your browser?","This might answer your question: According to Answers.com: The most similar browser to Chrome is Opera. Although is looks different, Chrome and Opera both use the Blink web browser layout. Download Opera @ opera.com Google Chrome is built on the open-source browser, Chromium. Chromium's UI is almost identical to Chrome's and the performance is also almost identical. However, Chromium is less stable due to its nightly release schedule. If you want to be on the bleeding edge of development and have early access to all the latest features, Chromium's your browser.However, browsers have been moving toward a more universal design language. Consequently you can get extremely similar experiences on most browsers.","Yes.Google is the biggest search engine and Google service figure out top 100 website, including Youtube and Blogger."
"Did you know that a seahorse is the only fish to have a neck?","Here's something I found on Wikipedia: Seahorse is the name given to 45 species of small marine fish in the genus Hippocampus. 'Hippocampus' comes from the Ancient Greek hippokampos, itself from hippos meaning 'horse' and kampos meaning 'sea monster'.","Freshwater fish only drink water through the skin via Osmosis, Saltwater fish drink water through the mouth. Dolphins are friendly to human beings."
"do you like dance?","Of course! I especially like Alastair Macaulay.","Yes  I do. Did you know Bruce Lee was a cha cha dancer?"
"Oh yeah I didn't know that either. I also want to go to google Plex to see the goats who mow their lawn by eating it.","I'm still learning about goat questions. Try asking 'tell me a goat fact' to learn more about them.","say what now?? they have that??"
"It seems they do. I also didn't know that there was a difference with how freshwater and saltwater fish drink.","Here's something I found on the web. According to tonmo.com: Rob Toonen showed that freshwater crustaceans didn't have an extreme fatty acid difference from saltwater crustaceans, but fish did.","thats crazy. i wonder why fresh water ones only use osmosis?"
"do you like dance?","Yes I do! My favorite is Alastair Macaulay.","I love it. Did you know Bruce Lee was a dancer?"
"Yes terms like, good riddance, in my heart of heart and such","Here's a good word: Boondoggle, meaning a wasteful, unnecessary and possibly fraudulent project. Now try asking for another.","Yes. He lives at the same time as Pocahontas did"
"I wonder if they had met what he would have written about her.","Here's something I found on the web. According to psu.edu: We met because I had written a blog for the Huffington Post about Colbert Super PAC, and was reading other HuffPost blogs tagged “Stephen Colbert.”","Yeah good point. He also invented some women's names"
"Yes among those are Olivia, Miranda and Jessica","I think you are asking for the song among those are olivia, miranda and jessica, is that right?","Yeah. Did you know that his works have to stick to the old english language to make sense?"
"Do you like comic books?","Comics are super cool.","I do like comic books!"
"Was Inspect Gadget a comics on Paper or a cartoon on TV ? I was talking about what Marvel is publishing.","Here's something I found on the web. According to orlandosentinel.com: The Warner Bros.-owned DC Comics has made a concerted effort to target young readers, Levitz says.","On Paper and yes I do recall seeing Super-hero and Hulk books."
"I never felt strongly about Chewbacca one way or the other TBH. But I've got to google a picture of that bat to see what it looks like!","Here's something I found on the web. According to cheezburger.com: Had Chewbacca not been where he was, you probably wouldn’t have thought of it.","I would like to see it as well. Did you know Chewbacca actually had a wife and two boys? That's pretty interesting!"
"I vaguely recall reading something in the Star Wars fictional universe where a young Han Solo stayed with Chewbacca and his mom in their home.","Here's something I found on the web. According to insider.com: According to 'Star Wars' legend, Han's home planet was a trading partner to Wookiees at one time.","That's so weird, isn't it? Ha! Are you one of the fans who believes both r2d2 and Chewbacca were secret rebel agents? I kind of think it's an interesting theory."
"Naming a cloned cat 'copy cat', that's cute.","Sorry, I don't know that, but I do have a skill you might like. It's called Box of Cats. Wanna try it?","You must have ESP. I was going to tell you teh same thing! I have a sad story to tell there are less tigers living in the wild in Asia than as pets in the US."
"Really? That's awful to hear!","Sorry, I don't know that, but I do have a skill you might like. It's called Box of Cats. Wanna try it?","Of Roosevelt's 20 pets two were a bear and hyena!"
"Whoa, cool! I know he seemed to be quite the animal lover.","Sorry, I don't know that, but I do have a skill you might like. It's called Box of Cats. Wanna try it?","And there are more pets in Japan than there are children under 15. You can't be a pets 'OWNER' in Boulder but you can be their guardian."
